,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21
character design,0.098638326,0.092161364,0.081807557,0.061736334,0.058481532,0.062251279,0.044853295,0.038530306,0.024799599,0.0385455,0.040257217,0.040587395,0.062829105,0.090235256,0.083906696,0.092735123,0.095325004,0.075026795,0.063282088,0.075781497,0.051963217,0.072823055,0.059552358,0.046511628,0.044825313,0.064102564,0.073170732,0.026020268,0.021330198,0.053738318,0.057894737,0.036873968,0.025215105,0.025556328,0.023219814,0.025855104,0.029206771,0.0384375,0.039459262,0.03809219,0.036707453,0.035909091,0.044165758,0.033793432,0.034283652,0.035514019,0.0402169,0.02244898,0.043739748,0.051693405,0.02667628
gameplay,0.07505812,0.084453919,0.085703155,0.06511254,0.060761514,0.077506159,0.059163059,0.059181119,0.040631263,0.055385767,0.052917141,0.050071385,0.046314026,0.047695778,0.053029032,0.07067768,0.074547241,0.051714898,0.04647837,0.047994948,0.036782951,0.051440967,0.054356515,0.05,0.043506922,0.047863248,0.038327526,0.023281293,0.022337924,0.040498442,0.032631579,0.023665382,0.021869025,0.017211405,0.027089783,0.02289254,0.025224029,0.0325,0.033613445,0.029769526,0.029291806,0.030454545,0.024536532,0.035697287,0.020570191,0.037757009,0.03163127,0.02244898,0.021869874,0.027629234,0.018745494
server,0.244104949,0.247950148,0.206466693,0.188102894,0.146032832,0.197934432,0.17003367,0.330949401,0.145190381,0.336618225,0.322995512,0.246787681,0.231570129,0.26893329,0.274878335,0.223390276,0.282324863,0.247588424,0.245262782,0.315756236,0.131075755,0.21691974,0.222222222,0.177906977,0.16413975,0.214529915,0.199477352,0.084360449,0.086832382,0.185358255,0.184210526,0.127682994,0.066443595,0.070062587,0.110100619,0.098303259,0.087620312,0.1121875,0.10230179,0.07362356,0.070819429,0.090909091,0.063794984,0.06473108,0.067484663,0.062056075,0.062810664,0.049489796,0.053581192,0.064171123,0.055515501
optimization,0.310860179,0.327156445,0.300350604,0.237942122,0.199384405,0.25525867,0.228595479,0.301984624,0.206312625,0.272188611,0.209659053,0.244544157,0.250837721,0.28617467,0.297700957,0.343063638,0.364172399,0.305734191,0.301394351,0.260183139,0.193402423,0.241400682,0.268185452,0.254651163,0.214238629,0.201709402,0.208188153,0.11010682,0.090023514,0.207943925,0.210526316,0.141992295,0.094048757,0.083275382,0.124613003,0.120926475,0.128775307,0.1340625,0.135184509,0.127400768,0.117167223,0.132727273,0.101417666,0.093764874,0.094189823,0.077009346,0.103931315,0.069387755,0.07654456,0.082442068,0.062004326
matchmaking,0.044503487,0.050672352,0.053174912,0.04807074,0.048677611,0.04358537,0.034632035,0.036652959,0.024549098,0.041851182,0.046821622,0.039567612,0.033987554,0.035932968,0.034401745,0.03341468,0.038045767,0.047427653,0.049338577,0.065677297,0.02495986,0.041834521,0.043964828,0.03372093,0.020435069,0.047863248,0.042682927,0.017255546,0.019146792,0.04517134,0.041052632,0.031370391,0.019000956,0.020688456,0.025154799,0.027201724,0.034185197,0.0246875,0.04749726,0.043213828,0.038561364,0.033181818,0.031624864,0.037601142,0.028870444,0.036261682,0.046995029,0.032653061,0.039365774,0.038770053,0.051189618
teamwork,0.028894055,0.041980977,0.050447994,0.055305466,0.051071591,0.048417662,0.045454545,0.041927409,0.050200401,0.046279548,0.044946078,0.036712217,0.034705601,0.037544312,0.029031717,0.031349728,0.031447424,0.027063237,0.029317125,0.024944743,0.071814334,0.0359467,0.034372502,0.023255814,0.032300593,0.031623932,0.026132404,0.032867707,0.02955996,0.033489097,0.025263158,0.019812878,0.025095602,0.022253129,0.023993808,0.01885268,0.016594756,0.021875,0.017172086,0.016645327,0.023359288,0.027727273,0.017448201,0.019038553,0.029592205,0.020934579,0.019430637,0.021428571,0.023510115,0.020944742,0.01297765
cheating,0.017602126,0.043456871,0.046162836,0.052090032,0.0375057,0.037426568,0.040885041,0.239138208,0.222845691,0.231397742,0.595217362,0.525596574,0.386189564,0.280051563,0.266991106,0.285808147,0.247508072,0.22079314,0.253485878,0.288916956,0.13516275,0.163619461,0.210631495,0.159883721,0.141727093,0.294871795,0.298780488,0.105724459,0.101276453,0.32788162,0.250526316,0.231700605,0.124521989,0.161682893,0.233552632,0.196606518,0.203783604,0.2803125,0.266350018,0.219590269,0.202447164,0.194090909,0.177753544,0.257972394,0.172140022,0.182429907,0.168097605,0.184183673,0.180426463,0.191622103,0.20259553
in-game purchases,0.013284623,0.014758937,0.016166732,0.01221865,0.015731874,0.020560925,0.010942761,0.012247452,0.006312625,0.010041789,0.013262777,0.011421579,0.009693633,0.011440541,0.012418191,0.021681997,0.018812298,0.013397642,0.015016089,0.010419956,0.004816815,0.013015184,0.017585931,0.009302326,0.013183916,0.012820513,0.012195122,0.004656259,0.002519315,0.012461059,0.005263158,0.003852504,0.00334608,0.005041725,0.005417957,0.007541072,0.003650846,0.005625,0.00621118,0.007362356,0.007415647,0.004090909,0.004907306,0.012375059,0.004691447,0.006728972,0.005422503,0.008163265,0.002186987,0.003565062,0.007209805
community,0.027897708,0.02902591,0.027853526,0.02170418,0.03123575,0.041311351,0.023689274,0.023511532,0.015180361,0.019834092,0.034161699,0.031001428,0.025251316,0.028198518,0.032052358,0.035479632,0.039870841,0.024115756,0.031462281,0.025892011,0.016931835,0.019832662,0.018784972,0.020930233,0.011206328,0.023076923,0.020905923,0.0112298,0.007557944,0.021806854,0.008421053,0.025866813,0.008126195,0.009040334,0.012577399,0.011311608,0.012280119,0.0146875,0.021556449,0.014084507,0.021876159,0.013636364,0.011995638,0.017134698,0.012269939,0.008224299,0.012652508,0.012755102,0.01038819,0.015597148,0.010814708
graphics,0.065758884,0.06083962,0.051421893,0.04244373,0.050615595,0.041974607,0.046055796,0.041122832,0.026503006,0.040915612,0.031080447,0.034162757,0.037338439,0.038027715,0.042456788,0.048620237,0.046469184,0.04153269,0.044333214,0.041679823,0.034739454,0.046482801,0.04636291,0.045930233,0.025708635,0.033333333,0.042682927,0.027389756,0.025864965,0.035825545,0.038947368,0.027517887,0.020793499,0.015646732,0.019543344,0.019929976,0.023896449,0.0209375,0.028132992,0.033610755,0.03633667,0.034545455,0.022355507,0.029985721,0.022374594,0.03364486,0.029371893,0.025,0.021869874,0.025846702,0.021629416
player skills,0.007638658,0.01180715,0.017140631,0.011414791,0.014591883,0.016297139,0.015873016,0.014124799,0.010320641,0.013659328,0.015339273,0.010911687,0.011129727,0.012890751,0.012921631,0.010794068,0.01502176,0.011521972,0.012155881,0.011051468,0.00890381,0.00867679,0.010391687,0.013372093,0.013843111,0.021367521,0.015679443,0.014516571,0.006550218,0.013239875,0.014736842,0.011557512,0.008365201,0.01216968,0.009481424,0.012388904,0.008629273,0.00875,0.017172086,0.01184379,0.011494253,0.007727273,0.013631407,0.008567349,0.010104655,0.010093458,0.013104383,0.01122449,0.007107709,0.010695187,0.010814708
learning curve,0.004317502,0.007871433,0.009738995,0.007717042,0.006953944,0.007201061,0.006253006,0.007509387,0.003456914,0.00548868,0.006095519,0.005710789,0.00694112,0.007412182,0.005705655,0.005819411,0.007019514,0.009646302,0.007150518,0.004420587,0.004378923,0.004958165,0.009192646,0.006395349,0.007251154,0.005982906,0.005226481,0.004930156,0.005206584,0.007788162,0.006315789,0.009906439,0.007767686,0.007997218,0.009674923,0.00807972,0.005974112,0.00625,0.008768725,0.007042254,0.012235818,0.006363636,0.005997819,0.001903855,0.00649585,0.007850467,0.006326254,0.004591837,0.006014215,0.006238859,0.002883922
maps,0.059116573,0.073794687,0.070120764,0.053376206,0.059279526,0.048512412,0.057720058,0.053280887,0.036072144,0.116073099,0.090628977,0.093922089,0.085327908,0.099258782,0.069978184,0.114886428,0.100379054,0.071543408,0.076868073,0.063151247,0.044519048,0.109699411,0.099520384,0.072093023,0.055372446,0.07008547,0.06271777,0.031224322,0.030567686,0.103582555,0.092631579,0.055035773,0.032982792,0.03511822,0.05243808,0.057904659,0.044473946,0.0503125,0.051516259,0.045134443,0.045606229,0.072727273,0.039803708,0.090433127,0.088054854,0.082990654,0.093990059,0.059693878,0.053581192,0.073975045,0.057678443
