,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05
in-game purchases,0.01328462304882099,0.014758937356510331,0.016166731593299573,0.012218649517684888,0.01573187414500684,0.020560924767860526,0.010942760942760943,0.012247452172358305,0.006312625250501002,0.010041788810578182,0.013262777145153727,0.011421578625331429,0.009693633317376736,0.011440541411537221,0.012418190971639537,0.021681997371879105,0.018812298188965324,0.01339764201500536,0.015016088666428316,0.010419955794126934,0.00481681506349438,0.013015184381778741,0.017585931254996003,0.009302325581395349,0.013183915622940013,0.01282051282051282,0.012195121951219513,0.0046562585592988225,0.0025193147463889822,0.012461059190031152,0.005263157894736842,0.003852504127682994,0.0033460803059273425,0.005041724617524339,0.005417956656346749,0.007541071909507137,0.0036508463325589115,0.005625,0.006211180124223602,0.00736235595390525,0.007415647015202077,0.004090909090909091,0.004907306434023991,0.012375059495478343,0.004691447130999639,0.0067289719626168224,0.005422503389064619,0.00816326530612245,0.002186987424822307,0.0035650623885918,0.007209805335255948
region,0.0033211557622052474,0.0006559527714004591,0.0021425788858589795,0.0006430868167202572,0.0015959872321021432,0.0017055144968732233,0.004208754208754209,0.006615412122295727,0.0056112224448897794,0.012349529096239008,0.25982986134369346,0.4743014480930043,0.06019626615605553,0.06832097969706735,0.0352408122168149,0.020367936925098553,0.024568299873648742,0.021436227224008574,0.02288165892027172,0.05873065993053363,0.021748649832141292,0.040285094515029436,0.02597921662669864,0.01744186046511628,0.02043506921555702,0.024786324786324785,0.01916376306620209,0.01259928786633799,0.013436345314074572,0.020249221183800622,0.014736842105263158,0.01100715465052284,0.006572657743785851,0.008866481223922114,0.01393188854489164,0.011580931861028817,0.00829737802854298,0.02625,0.009864815491413957,0.008962868117797696,0.008898776418242492,0.008181818181818182,0.003816793893129771,0.013802950975725845,0.008300252616383976,0.08785046728971962,0.00587437867148667,0.00510204081632653,0.004920721705850191,0.007575757575757576,0.002883922134102379
community,0.027897708402524077,0.02902591013447032,0.02785352551616673,0.021704180064308683,0.031235750113999088,0.041311351146484744,0.02368927368927369,0.02351153227248346,0.015180360721442885,0.019834092184868708,0.034161698707214146,0.031001427697328166,0.025251316419339396,0.028198517563648082,0.03205235777815069,0.035479632063074903,0.0398708409378071,0.024115755627009645,0.031462281015373614,0.025892011367224504,0.016931834768646913,0.019832661915091417,0.018784972022382093,0.020930232558139535,0.01120632827949901,0.023076923076923078,0.020905923344947737,0.011229800054779512,0.007557944239166946,0.021806853582554516,0.008421052631578947,0.025866813428728673,0.008126195028680689,0.009040333796940195,0.012577399380804953,0.011311607864260706,0.01228011948224361,0.0146875,0.021556448666423093,0.014084507042253521,0.021876158694846125,0.013636363636363636,0.011995637949836423,0.017134697762970014,0.012269938650306749,0.00822429906542056,0.012652507907817443,0.012755102040816327,0.01038819026790596,0.015597147950089126,0.010814708002883922
optimization,0.31086017934241117,0.327156444735979,0.300350603817686,0.2379421221864952,0.1993844049247606,0.25525866969869243,0.2285954785954786,0.3019846236366887,0.206312625250501,0.2721886109898335,0.2096590528501574,0.2445441566387926,0.250837721397798,0.28617466967450855,0.2977009565363316,0.3430636380702084,0.3641723992699705,0.3057341907824223,0.30139435109045404,0.26018313861698766,0.19340242300394103,0.24140068174775334,0.26818545163868907,0.25465116279069766,0.21423862887277523,0.20170940170940171,0.20818815331010454,0.11010682004930156,0.09002351360429962,0.20794392523364486,0.21052631578947367,0.14199229499174462,0.09404875717017208,0.08327538247566064,0.12461300309597523,0.1209264745488823,0.12877530700298706,0.1340625,0.1351845085860431,0.12740076824583868,0.1171672228401928,0.13272727272727272,0.10141766630316248,0.09376487386958592,0.09418982316853122,0.07700934579439252,0.10393131495707185,0.06938775510204082,0.07654455986878075,0.08244206773618538,0.06200432588320115
matchmaking,0.04450348721355032,0.05067235159068547,0.05317491234904558,0.04807073954983923,0.04867761057911537,0.043585370475649046,0.03463203463203463,0.03665295905596281,0.024549098196392786,0.041851181937254414,0.046821622345769975,0.03956761166632674,0.03398755385351843,0.03593296809539156,0.03440174525927169,0.03341467993241975,0.038045767232907486,0.04742765273311897,0.0493385770468359,0.06567729712661825,0.02495985987447088,0.041834521227145954,0.04396482813749001,0.03372093023255814,0.02043506921555702,0.04786324786324787,0.042682926829268296,0.01725554642563681,0.019146792072556266,0.045171339563862926,0.04105263157894737,0.03137039075399009,0.019000956022944552,0.020688456189151598,0.025154798761609906,0.027201723673579314,0.03418519747759708,0.0246875,0.047497259773474604,0.04321382842509603,0.0385613644790508,0.03318181818181818,0.03162486368593239,0.0376011423131842,0.028870443883074703,0.03626168224299065,0.04699502937189336,0.0326530612244898,0.03936577364680153,0.03877005347593583,0.05118961788031723
cheating,0.01760212553968781,0.04345687110528042,0.04616283599532528,0.05209003215434083,0.03750569995440037,0.03742656812582907,0.040885040885040885,0.23913820847487932,0.22284569138276553,0.2313977421568016,0.59521736218099,0.5255965735264124,0.3861895643848731,0.28005156300354495,0.26699110589025005,0.28580814717477004,0.24750807244138706,0.2207931404072883,0.2534858777261351,0.28891695610988316,0.13516274996350897,0.16361946079950418,0.2106314948041567,0.15988372093023256,0.14172709294660515,0.2948717948717949,0.29878048780487804,0.10572445905231444,0.10127645280483709,0.3278816199376947,0.2505263157894737,0.2317006053935058,0.12452198852772467,0.16168289290681503,0.23355263157894737,0.1966065176407218,0.2037836043810156,0.2803125,0.26635001826817684,0.21959026888604352,0.20244716351501668,0.1940909090909091,0.1777535441657579,0.25797239409804856,0.1721400216528329,0.18242990654205607,0.16809760506100316,0.18418367346938774,0.18042646254784034,0.19162210338680927,0.20259552992069213
server,0.2441049485220857,0.24795014758937356,0.20646669263731982,0.18810289389067525,0.1460328317373461,0.19793443244267575,0.17003367003367004,0.33094940103701054,0.14519038076152305,0.3366182249111208,0.322995512090562,0.24678768101162554,0.23157012924844422,0.2689332903641637,0.27487833529115624,0.2233902759526938,0.28232486311947214,0.24758842443729903,0.2452627815516625,0.3157562361856647,0.13107575536418042,0.21691973969631237,0.2222222222222222,0.17790697674418604,0.16413974950560317,0.21452991452991452,0.1994773519163763,0.0843604491920022,0.08683238159220692,0.1853582554517134,0.18421052631578946,0.12768299394606494,0.06644359464627152,0.07006258692628652,0.11010061919504643,0.0983032588203609,0.08762031198141387,0.1121875,0.10230179028132992,0.0736235595390525,0.07081942899517983,0.09090909090909091,0.06379498364231188,0.06473108043788672,0.06748466257668712,0.06205607476635514,0.06281066425666516,0.049489795918367344,0.05358119190814653,0.06417112299465241,0.0555155010814708
maps,0.0591165725672534,0.07379468678255166,0.07012076353720297,0.05337620578778135,0.05927952576379389,0.04851241235550502,0.05772005772005772,0.05328088682281423,0.036072144288577156,0.11607309923283228,0.09062897715855048,0.09392208851723434,0.08532790808999521,0.09925878182404126,0.06997818425910388,0.11488642763281397,0.10037905376947916,0.07154340836012862,0.07686807293528782,0.06315124723713293,0.044519048314114726,0.1096994112178494,0.09952038369304557,0.07209302325581396,0.055372445616348055,0.07008547008547009,0.0627177700348432,0.031224322103533278,0.03056768558951965,0.10358255451713395,0.09263157894736843,0.0550357732526142,0.032982791586998086,0.0351182197496523,0.05243808049535604,0.05790465930514409,0.04447394623299038,0.0503125,0.051516258677384,0.045134443021766966,0.04560622914349277,0.07272727272727272,0.03980370774263904,0.09043312708234175,0.08805485384337784,0.08299065420560747,0.09399005874378671,0.05969387755102041,0.05358119190814653,0.07397504456327986,0.05767844268204758
gameplay,0.07505812022583859,0.08445391931780911,0.08570315543435918,0.06511254019292605,0.06076151390788874,0.07750615880234982,0.05916305916305916,0.059181119256213124,0.0406312625250501,0.05538576685585979,0.05291714113470427,0.050071384866408324,0.04631402584968885,0.047695778279084756,0.053029031716731,0.07067767974469683,0.0745472413308999,0.05171489817792069,0.04647836968180193,0.04799494790022103,0.03678295139395708,0.051440966842268364,0.05435651478816946,0.05,0.043506921555702044,0.04786324786324787,0.03832752613240418,0.023281292796494112,0.022337924084648974,0.040498442367601244,0.03263157894736842,0.023665382498624106,0.02186902485659656,0.017211404728789986,0.027089783281733747,0.022892539725289523,0.02522402920677066,0.0325,0.03361344537815126,0.02976952624839949,0.0292918057100482,0.030454545454545453,0.024536532170119956,0.03569728700618753,0.020570191266690727,0.037757009345794394,0.031631269769543606,0.022448979591836733,0.02186987424822307,0.027629233511586453,0.018745493871665464
character design,0.09863832613749585,0.09216136438176452,0.08180755746007012,0.06173633440514469,0.05848153214774282,0.06225127913587265,0.04485329485329485,0.038530305739317004,0.024799599198396794,0.03854549990644296,0.04025721749614843,0.0405873954721599,0.06282910483484921,0.09023525620367387,0.08390669575432119,0.09273512295851323,0.09532500350975713,0.07502679528403002,0.06328208795137648,0.07578149668455952,0.05196321704860604,0.07282305546947629,0.059552358113509195,0.046511627906976744,0.04482531311799604,0.0641025641025641,0.07317073170731707,0.026020268419611064,0.021330198186093382,0.053738317757009345,0.05789473684210526,0.036873968079251515,0.025215105162523902,0.025556328233657857,0.02321981424148607,0.025855103689738757,0.029206770660471292,0.0384375,0.03945926196565583,0.0380921895006402,0.03670745272525028,0.03590909090909091,0.04416575790621592,0.033793431699190864,0.03428365211115121,0.03551401869158879,0.04021690013556258,0.022448979591836733,0.04373974849644614,0.05169340463458111,0.026676279740447006
