,in-game purchases,region,community,optimization,matchmaking,cheating,server,maps,gameplay,character design,graphics,audio,game balance,learning curve,player skills,teamwork
2017-03,8,3,7,193,26,37,215,25,35,44,50,34,6,2,7,3
2017-04,19,1,20,479,65,127,582,63,115,97,80,90,15,13,12,14
2017-05,20,8,27,560,61,107,477,60,123,99,74,53,23,8,20,16
2017-06,24,2,20,496,62,152,513,62,96,70,75,41,12,6,20,19
2017-07,55,6,114,666,117,209,682,117,159,163,154,78,28,11,36,40
2017-08,106,9,165,1363,176,271,1282,164,282,231,205,89,41,17,60,66
2017-09,37,26,63,966,103,236,924,145,193,145,178,72,25,7,51,57
2017-10,91,60,151,2330,217,2216,2796,318,368,256,252,115,45,26,78,111
2017-11,61,86,131,1641,221,2818,1662,261,296,176,180,83,44,12,56,115
2017-12,88,146,156,2446,368,2702,3528,1041,425,264,297,136,46,16,86,157
2018-01,151,2763,365,2117,514,7409,3678,839,484,367,248,130,62,39,122,227
2018-02,85,2980,229,1737,285,4264,1879,614,306,232,175,119,61,26,61,129
2018-03,65,335,139,1487,184,2488,1517,462,235,390,175,93,40,22,59,97
2018-04,48,350,113,1245,141,1319,1323,384,178,393,138,73,38,16,43,74
2018-05,55,181,134,1347,146,1190,1325,227,214,379,141,54,59,9,39,55
2018-06,185,168,307,2972,256,2564,1943,899,562,792,353,112,96,37,66,174
2018-07,111,137,230,2118,205,1477,1730,558,401,562,222,111,49,23,76,122
2018-08,38,63,54,863,132,679,743,161,129,185,91,52,20,13,35,39
2018-09,32,54,61,638,107,575,575,153,91,124,67,27,27,8,17,34
2018-10,30,164,66,659,167,823,855,156,110,202,85,41,30,6,27,41
2018-11,19,80,58,684,107,570,553,130,104,226,84,31,15,4,15,45
2018-12,35,50,35,535,85,396,536,171,91,157,82,53,15,4,13,37
2019-01,33,53,33,478,84,421,428,118,92,91,65,62,10,11,10,30
2019-02,16,23,30,310,46,223,233,82,58,68,39,32,14,3,10,15
2019-03,15,21,9,224,23,158,172,49,36,42,21,10,2,4,7,8
2019-04,12,21,11,159,35,281,203,42,28,55,19,11,8,3,19,11
2019-05,11,19,13,178,36,282,180,50,25,58,25,22,4,1,8,15
2019-06,9,22,19,197,25,205,183,46,36,47,33,15,6,4,12,9
2019-07,1,57,20,260,61,358,310,87,55,57,46,47,10,4,6,22
2019-08,11,21,18,214,38,367,202,102,34,43,22,21,9,3,10,19
2019-09,4,12,7,153,24,205,135,63,22,36,19,27,2,2,2,7
2019-10,5,16,33,180,39,329,175,64,26,48,28,34,7,7,10,7
2019-11,15,37,31,422,81,655,354,139,54,97,38,53,8,11,20,19
2019-12,26,38,32,310,70,725,294,116,51,96,34,32,17,8,19,26
2020-01,24,61,38,451,89,1011,451,187,71,91,53,53,15,12,16,27
2020-02,21,34,30,328,65,591,270,139,40,72,28,23,4,6,20,21
2020-03,11,24,33,304,83,528,222,107,47,80,46,13,7,8,15,17
2020-04,17,25,34,351,66,769,294,118,67,103,37,41,10,9,15,25
2020-05,16,23,43,303,107,604,235,112,58,64,38,29,7,7,32,20
2020-06,18,24,30,303,103,547,187,105,50,92,47,35,16,7,17,22
2020-07,18,21,44,237,80,437,137,75,49,67,40,15,12,13,16,19
2020-08,5,15,25,228,56,338,163,101,47,58,40,22,9,4,12,22
2020-09,6,2,11,152,37,248,85,48,21,56,12,12,6,4,16,10
2020-10,23,28,20,146,56,437,113,149,51,48,29,17,3,0,9,11
2020-11,9,18,21,170,49,356,130,170,24,49,24,28,4,4,14,15
2020-12,12,232,9,143,64,392,118,152,52,52,41,20,7,4,12,15
2021-01,9,10,18,164,63,270,92,135,30,52,22,17,11,8,11,7
2021-02,14,9,18,101,42,280,69,87,22,26,19,18,8,0,6,13
2021-03,4,9,11,99,49,255,71,72,20,51,20,9,2,4,6,9
2021-04,3,15,29,139,65,339,116,125,43,84,23,16,3,4,15,13
2021-05,8,2,13,65,53,210,56,54,16,20,9,12,5,2,6,4
