,in-game purchases,region,community,optimization,matchmaking,cheating,server,maps,gameplay,character design,graphics,audio,game balance,learning curve,player skills,teamwork
2017-03,32,7,77,743,108,16,520,153,191,253,148,104,44,11,16,84
2017-04,71,3,157,1516,244,138,930,387,400,465,291,171,109,35,60,242
2017-05,63,3,116,982,212,130,583,300,317,321,190,131,67,42,68,243
2017-06,52,2,115,984,237,172,657,270,309,314,189,135,56,42,51,325
2017-07,83,8,160,1083,310,120,599,403,374,350,290,122,70,50,92,408
2017-08,111,9,271,1331,284,124,807,348,536,426,238,109,70,59,112,445
2017-09,54,9,134,935,185,104,490,335,299,228,205,73,65,45,81,321
2017-10,46,14,112,1048,193,459,906,278,294,175,208,47,47,58,80,358
2017-11,65,26,172,2477,269,1630,1236,459,515,319,349,124,49,57,150,887
2017-12,73,52,162,1918,303,1008,1869,820,463,354,359,141,59,72,133,585
2018-01,47,1116,145,1013,185,1477,1144,514,306,234,216,81,46,52,107,444
2018-02,27,1671,75,661,103,890,541,307,185,166,160,36,32,30,46,231
2018-03,16,168,72,609,100,739,418,251,152,135,137,29,13,36,34,193
2018-04,23,74,62,531,82,419,346,232,118,167,98,36,22,30,37,159
2018-05,19,29,57,427,59,401,313,190,102,121,112,21,34,25,38,118
2018-06,46,49,71,683,100,481,437,325,191,196,165,64,37,25,49,160
2018-07,23,38,54,476,66,286,281,157,130,117,109,31,17,27,31,102
2018-08,12,17,36,278,45,145,181,106,64,95,64,26,9,23,8,62
2018-09,10,10,27,205,31,134,111,62,39,53,57,19,5,12,17,48
2018-10,3,22,16,165,41,92,145,44,42,38,47,16,5,8,8,38
2018-11,14,69,58,641,64,356,345,175,148,130,154,31,21,26,46,447
2018-12,7,80,29,244,50,132,164,183,75,78,68,26,12,12,15,79
2019-01,11,12,14,193,26,106,128,131,44,58,51,15,7,12,16,56
2019-02,0,7,6,128,12,52,73,42,28,12,40,11,3,8,13,25
2019-03,5,10,8,101,8,57,77,35,30,26,18,12,5,7,14,41
2019-04,3,8,16,77,21,64,48,40,28,20,20,5,13,4,6,26
2019-05,3,3,11,61,13,61,49,22,19,26,24,6,6,5,10,15
2019-06,8,24,22,205,38,181,125,68,49,48,67,11,7,14,41,111
2019-07,14,23,25,276,53,245,207,95,78,70,108,22,14,27,33,154
2019-08,5,5,10,53,20,54,36,31,18,26,24,9,2,7,7,24
2019-09,1,2,1,47,15,33,40,25,9,19,18,6,7,4,12,17
2019-10,2,4,14,78,18,92,57,36,17,19,22,20,2,11,11,29
2019-11,13,18,37,365,78,387,202,137,129,114,136,33,22,54,50,191
2019-12,3,13,20,169,49,205,109,86,48,51,56,20,4,38,51,102
2020-01,4,11,27,193,41,196,118,84,69,29,48,16,9,38,33,97
2020-02,7,9,12,121,36,139,95,76,45,24,46,9,6,24,26,49
2020-03,0,1,4,84,20,86,42,27,29,8,26,9,1,10,11,33
2020-04,1,59,13,78,13,128,65,43,37,20,30,10,3,11,13,45
2020-05,1,4,16,67,23,125,45,29,34,44,39,9,3,17,15,27
2020-06,5,4,14,95,32,139,43,36,43,27,58,14,3,15,20,30
2020-07,2,3,15,79,24,109,54,48,30,32,58,13,7,20,15,44
2020-08,4,3,5,64,17,89,37,59,20,21,36,4,4,10,5,39
2020-09,3,5,11,34,21,78,32,25,24,25,29,12,3,7,9,22
2020-10,3,1,16,51,23,105,23,41,24,23,34,4,6,4,9,29
2020-11,4,5,13,91,31,121,57,74,33,46,38,13,6,14,14,67
2020-12,6,3,13,63,33,96,48,70,49,43,49,12,6,17,15,41
2021-01,3,3,10,66,41,102,47,73,40,37,43,13,6,6,18,36
2021-02,2,1,7,35,22,81,28,30,22,18,30,9,1,9,16,29
2021-03,0,0,8,41,23,75,27,26,20,29,20,9,6,7,7,34
2021-04,5,2,6,46,22,91,28,41,19,32,35,9,0,10,9,34
2021-05,2,2,2,21,18,71,21,26,10,17,21,5,2,2,9,14
