,in-game purchases,region,community,optimization,matchmaking,cheating,server,maps,gameplay,character design,graphics,learning curve,player skills,teamwork
2017-03,80,70,91.6666667,79.3803419,80.5970149,30.1886792,70.7482993,85.9550562,84.5132743,85.1851852,74.7474747,84.6153846,69.5652174,96.5517241
2017-04,78.8888889,75,88.700565,75.9899749,78.9644013,52.0754717,61.5079365,86,77.6699029,82.7402135,78.4366577,72.9166667,83.3333333,94.53125
2017-05,75.9036145,27.2727273,81.1188811,63.6835279,77.6556777,54.8523207,55,83.3333333,72.0454545,76.4285714,71.969697,84,77.2727273,93.8223938
2017-06,68.4210526,50,85.1851852,66.4864865,79.264214,53.0864198,56.1538462,81.3253012,76.2962963,81.7708333,71.5909091,87.5,71.8309859,94.4767442
2017-07,60.1449275,57.1428571,58.3941606,61.9210978,72.5995316,36.4741641,46.7603435,77.5,70.1688555,68.2261209,65.3153153,81.9672131,71.875,91.0714286
2017-08,51.1520737,50,62.1559633,49.4060876,61.7391304,31.3924051,38.6309239,67.96875,65.5256724,64.8401826,53.724605,77.6315789,65.1162791,87.0841487
2017-09,59.3406593,25.7142857,68.0203046,49.1846397,64.2361111,30.5882353,34.6534653,69.7916667,60.7723577,61.1260054,53.5248042,86.5384615,61.3636364,84.9206349
2017-10,33.5766423,18.9189189,42.5855513,31.0242747,47.0731707,17.1588785,24.4732577,46.6442953,44.4108761,40.6032483,45.2173913,69.047619,50.6329114,76.3326226
2017-11,51.5873016,23.2142857,56.7656766,60.1505585,54.8979592,36.6456835,42.6501035,63.75,63.5018496,64.4444444,65.973535,82.6086957,72.815534,88.5229541
2017-12,45.3416149,26.2626263,50.9433962,43.9505041,45.1564829,27.1698113,34.6303502,44.0623321,52.1396396,57.2815534,54.7256098,81.8181818,60.7305936,78.8409704
2018-01,23.7373737,28.7703016,28.4313725,32.3642173,26.4663805,16.621652,23.7245956,37.9896526,38.7341772,38.9351082,46.5517241,57.1428571,46.7248908,66.1698957
2018-02,24.1071429,35.9277575,24.6710526,27.5646372,26.5463918,17.2681412,22.3553719,33.3333333,37.6782077,41.7085427,47.761194,53.5714286,42.9906542,64.1666667
2018-03,19.7530864,33.3996024,34.1232227,29.0553435,35.2112676,22.9005268,21.6020672,35.2033661,39.2764858,25.7142857,43.9102564,62.0689655,36.5591398,66.5517241
2018-04,32.3943662,17.4528302,35.4285714,29.8986486,36.7713004,24.1081703,20.7309766,37.6623377,39.8648649,29.8214286,41.5254237,65.2173913,46.25,68.2403433
2018-05,25.6756757,13.8095238,29.8429319,24.0698985,28.7804878,25.204274,19.1086691,45.5635492,32.278481,24.2,44.2687747,73.5294118,49.3506494,68.2080925
2018-06,19.9134199,22.5806452,18.7830688,18.6867305,28.0898876,15.7963875,18.3613445,26.5522876,25.3652058,19.8380567,31.8532819,40.3225806,42.6086957,47.9041916
2018-07,17.1641791,21.7142857,19.0140845,18.3500386,24.3542435,16.2223483,13.9731477,21.958042,24.4821092,17.2312224,32.9305136,54,28.9719626,45.5357143
2018-08,24,21.25,40,24.3645925,25.4237288,17.5970874,19.5887446,39.7003745,33.1606218,33.9285714,41.2903226,63.8888889,18.6046512,61.3861386
2018-09,23.8095238,15.625,30.6818182,24.3179122,22.4637681,18.899859,16.180758,28.8372093,30,29.9435028,45.9677419,60,50,58.5365854
2018-10,9.0909091,11.827957,19.5121951,20.0242718,19.7115385,10.0546448,14.5,22,27.6315789,15.8333333,35.6060606,57.1428571,22.8571429,48.1012658
2018-11,42.4242424,46.3087248,50,48.3773585,37.4269006,38.4449244,38.4187082,57.3770492,58.7301587,36.5168539,64.7058824,86.6666667,75.4098361,90.8536585
2018-12,16.6666667,61.5384615,45.3125,31.322208,37.037037,25,23.4285714,51.6949153,45.1807229,33.1914894,45.3333333,75,53.5714286,68.1034483
2019-01,25,18.4615385,29.787234,28.7630402,23.6363636,20.113852,23.0215827,52.6104418,32.3529412,38.9261745,43.9655172,52.173913,61.5384615,65.1162791
2019-02,0,23.3333333,16.6666667,29.2237443,20.6896552,18.9090909,23.8562092,33.8709677,32.5581395,15,50.6329114,72.7272727,56.5217391,62.5
2019-03,25,32.2580645,47.0588235,31.0769231,25.8064516,26.5116279,30.9236948,41.6666667,45.4545455,38.2352941,46.1538462,63.6363636,66.6666667,83.6734694
2019-04,20,27.5862069,59.2592593,32.6271186,37.5,18.5507246,19.123506,48.7804878,50,26.6666667,51.2820513,57.1428571,24,70.2702703
